  512
  
X         1.887     8.281     8.874
     4.313     5.733     2.941
     4.788     5.801     3.831
     4.265     6.673     3.981
     3.374     6.099     3.975
     3.010     5.069     3.721
     3.888     4.798     3.489
     3.408     4.278     4.419
     3.666     4.509     5.334
     2.873     4.535     5.840
     2.543     5.409     6.109
     3.089     5.842     6.854
     3.667     5.514     6.289
     3.909     4.417     6.310
     4.589     3.839     5.833
     4.199     4.705     7.321
     4.005     5.771     7.426
     3.624     6.181     8.257
     2.837     5.438     8.049
     1.916     5.193     8.457
     1.523     4.522     7.789
     2.441     4.157     7.447
     2.346     4.069     8.395
     2.692     6.850     1.381
     2.718     7.502     0.721
     1.757     7.579     0.300
     2.213     8.402     0.430
     2.495     8.810     1.238
     3.401     8.140     1.248
     3.682     7.054     1.101
     3.376     6.195     0.823
     3.865     7.146     2.703
     3.008     7.609     2.700
     2.014     7.990     2.630
     1.752     8.634     3.072
     2.435     8.176     3.679
     2.949     7.430     3.851
     2.894     6.572     3.304
     2.147     6.789     2.510
     3.429     5.470     4.782
     3.871     6.412     4.974
     3.448     6.489     5.916
     3.306     7.173     5.104
     3.517     7.983     4.724
     3.488     8.038     5.698
     3.625     7.564     6.558
     2.696     7.500     6.173
     3.006     8.416     6.952
     2.140     8.534     7.388
     2.471     7.551     7.342
     2.684     7.942     8.072
     3.318     7.962     8.901
     3.077     6.991     8.918
     2.608     6.154     8.667
     2.113     6.094     9.610
     6.042     9.055     8.994
     5.431     0.304     9.388
     5.517     1.279     9.111
     4.953     2.108     0.070
     5.077     1.406     0.695
     5.246     0.446     0.927
     4.268     0.482     0.790
     4.416     9.346     0.067
     6.488     9.097     0.634
     6.632     9.265     1.631
     5.736     0.107     2.059
     4.858     0.165     1.750
     5.060     1.219     1.900
     4.805     0.620     2.717
     5.497     0.724     3.309
     4.496     0.734     3.659
     7.016     9.102     4.538
     6.740     0.496     4.051
     5.882     0.766     4.341
     4.912     0.602     4.639
     5.511     1.383     4.907
     6.296     0.965     5.396
     5.424     0.482     5.764
     5.433     9.237     6.356
     6.349     8.550     6.662
     6.519     0.070     6.978
     5.686     8.984     7.506
     5.278     0.439     7.283
     5.680     1.029     8.083
     5.290     0.222     8.309
     5.124     8.848     8.696
     4.687     8.220     8.254
     5.180     3.081     8.465
     5.771     2.420     9.061
     5.956     3.353     9.093
     5.073     3.520     0.024
     5.113     3.632     1.026
     6.137     3.317     1.022
