Surf 160 Ave ret.time  49.960 ns, #hopping 0 
Surf 161 Ave ret.time  49.960 ns, #hopping 0 
Surf 162 Ave ret.time  49.960 ns, #hopping 0 
Surf 163 Ave ret.time  49.960 ns, #hopping 0 
Surf 164 Ave ret.time  49.960 ns, #hopping 0 
Surf 165 Ave ret.time  49.960 ns, #hopping 0 
Surf 166 Ave ret.time  49.960 ns, #hopping 0 
Surf 167 Ave ret.time  49.960 ns, #hopping 0 
Surf 168 Ave ret.time  49.960 ns, #hopping 0 
Surf 169 Ave ret.time  49.960 ns, #hopping 0 
Surf 170 Ave ret.time  49.960 ns, #hopping 0 
Surf 171 Ave ret.time  49.960 ns, #hopping 0 
Surf 172 Ave ret.time  49.960 ns, #hopping 0 
Surf 173 Ave ret.time  49.960 ns, #hopping 0 
Surf 174 Ave ret.time  49.960 ns, #hopping 0 
Surf 175 Ave ret.time  24.920 ns, #hopping 1 
Surf 176 Ave ret.time  49.960 ns, #hopping 0 
Surf 177 Ave ret.time  24.780 ns, #hopping 1 
Surf 178 Ave ret.time   7.873 ns, #hopping 5 
Surf 179 Ave ret.time  49.960 ns, #hopping 0 
Surf 180 Ave ret.time  24.580 ns, #hopping 1 
Surf 181 Ave ret.time  49.960 ns, #hopping 0 
Surf 182 Ave ret.time  49.960 ns, #hopping 0 
Surf 183 Ave ret.time  24.800 ns, #hopping 1 
Surf 184 Ave ret.time  49.960 ns, #hopping 0 
Surf 185 Ave ret.time   3.927 ns, #hopping 10 
Surf 186 Ave ret.time  49.960 ns, #hopping 0 
Surf 187 Ave ret.time  24.820 ns, #hopping 1 
Surf 188 Ave ret.time  49.960 ns, #hopping 0 
Surf 189 Ave ret.time  49.960 ns, #hopping 0 
Surf 190 Ave ret.time  24.900 ns, #hopping 1 
Surf 191 Ave ret.time  49.960 ns, #hopping 0 
Surf 192 Ave ret.time  24.780 ns, #hopping 1 
Surf 193 Ave ret.time  24.900 ns, #hopping 1 
Surf 194 Ave ret.time   6.337 ns, #hopping 6 
Surf 195 Ave ret.time  49.960 ns, #hopping 0 
Surf 196 Ave ret.time  49.960 ns, #hopping 0 
Surf 197 Ave ret.time  49.960 ns, #hopping 0 
Surf 198 Ave ret.time  49.960 ns, #hopping 0 
Surf 199 Ave ret.time  49.960 ns, #hopping 0 
Surf 200 Ave ret.time  49.960 ns, #hopping 0 
Surf 201 Ave ret.time  49.960 ns, #hopping 0 
Surf 202 Ave ret.time  49.960 ns, #hopping 0 
Surf 203 Ave ret.time  49.960 ns, #hopping 0 
Surf 204 Ave ret.time  49.960 ns, #hopping 0 
Surf 205 Ave ret.time  49.960 ns, #hopping 0 
Surf 206 Ave ret.time  49.960 ns, #hopping 0 
Surf 207 Ave ret.time  24.940 ns, #hopping 1 
Surf 208 Ave ret.time  49.960 ns, #hopping 0 
Surf 209 Ave ret.time  49.960 ns, #hopping 0 
Surf 210 Ave ret.time  49.960 ns, #hopping 0 
Surf 211 Ave ret.time  11.380 ns, #hopping 3 
Surf 212 Ave ret.time  49.960 ns, #hopping 0 
Surf 213 Ave ret.time  24.880 ns, #hopping 1 
Surf 214 Ave ret.time  24.840 ns, #hopping 1 
Surf 215 Ave ret.time  49.960 ns, #hopping 0 
Surf 216 Ave ret.time  49.960 ns, #hopping 0 
Surf 217 Ave ret.time  49.960 ns, #hopping 0 
Surf 218 Ave ret.time  24.960 ns, #hopping 1 
Surf 219 Ave ret.time  24.820 ns, #hopping 1 
Surf 220 Ave ret.time  49.960 ns, #hopping 0 
Surf 221 Ave ret.time  49.960 ns, #hopping 0 
Surf 222 Ave ret.time  49.960 ns, #hopping 0 
Surf 223 Ave ret.time  49.960 ns, #hopping 0 
Surf 224 Ave ret.time  49.960 ns, #hopping 0 
Surf 225 Ave ret.time  24.520 ns, #hopping 1 
Surf 226 Ave ret.time  49.960 ns, #hopping 0 
Surf 227 Ave ret.time  49.960 ns, #hopping 0 
Surf 228 Ave ret.time  16.147 ns, #hopping 2 
Surf 229 Ave ret.time  49.960 ns, #hopping 0 
Surf 230 Ave ret.time  49.960 ns, #hopping 0 
Surf 231 Ave ret.time  49.960 ns, #hopping 0 
Surf 232 Ave ret.time   9.696 ns, #hopping 4 
Surf 233 Ave ret.time  15.707 ns, #hopping 2 
Surf 234 Ave ret.time  49.960 ns, #hopping 0 
Surf 235 Ave ret.time  49.960 ns, #hopping 0 
Surf 236 Ave ret.time  49.960 ns, #hopping 0 
Surf 237 Ave ret.time   5.655 ns, #hopping 7 
Surf 238 Ave ret.time  49.960 ns, #hopping 0 
Surf 239 Ave ret.time  49.960 ns, #hopping 0 
Surf 240 Ave ret.time  49.960 ns, #hopping 0 
Surf 241 Ave ret.time  49.960 ns, #hopping 0 
Surf 242 Ave ret.time  49.960 ns, #hopping 0 
Surf 243 Ave ret.time  49.960 ns, #hopping 0 
Surf 244 Ave ret.time  15.880 ns, #hopping 2 
Surf 245 Ave ret.time  49.960 ns, #hopping 0 
Surf 246 Ave ret.time  49.960 ns, #hopping 0 
Surf 247 Ave ret.time  24.940 ns, #hopping 1 
Surf 248 Ave ret.time   8.920 ns, #hopping 4 
